NDIMENSIONS=3
NI=13
NJ=12
NK=5
x,y,z
3.000000,0.419945,0.173947
3.000000,0.377941,0.252532
3.000000,0.321412,0.321412
3.000000,0.515152,0.000000
3.000000,0.505253,0.100501
3.000000,0.475938,0.197140
3.000000,0.428333,0.286203
3.000000,0.364267,0.364267
3.000000,0.575758,0.000000
3.000000,0.564695,0.112325
3.000000,0.531931,0.220333
3.000000,0.478725,0.319874
3.000000,0.407122,0.407122
3.000000,0.636364,0.000000
3.000000,0.624136,0.124148
3.000000,0.587923,0.243526
3.000000,0.529117,0.353545
3.000000,0.449977,0.449977
3.000000,0.696970,0.000000
3.000000,0.683578,0.135972
3.000000,0.643916,0.266719
3.000000,0.579509,0.387216
3.000000,0.492832,0.492832
3.000000,0.757576,0.000000
3.000000,0.743019,0.147796
3.000000,0.699909,0.289912
3.000000,0.629901,0.420887
3.000000,0.535687,0.535687
3.000000,0.818182,0.000000
3.000000,0.802461,0.159619
3.000000,0.755901,0.313105
3.000000,0.680293,0.454557
3.000000,0.578542,0.578542
3.000000,0.878788,0.000000
3.000000,0.861902,0.171443
3.000000,0.811894,0.336298
3.000000,0.730685,0.488228
3.000000,0.621397,0.621397
3.000000,0.939394,0.000000
3.000000,0.921344,0.183267
3.000000,0.867887,0.359490
3.000000,0.781078,0.521899
3.000000,0.664252,0.664252
3.000000,1.000000,0.000000
3.000000,0.980785,0.195090
3.000000,0.923880,0.382683
3.000000,0.831470,0.555570
3.000000,0.707107,0.707107
